Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,5849,0,146,360,1,Urban,Approved
LP001005,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Approved
LP001006,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Approved
LP001008,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Approved
LP001011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Approved
LP001013,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Approved
LP001018,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Approved
LP001024,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Approved
LP001027,Male,Yes,2,Graduate,No,2500,1840,109,360,1,Urban,Approved
LP001028,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Approved
LP001030,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Approved
LP001032,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Approved
LP001034,Male,No,1,Not Graduate,No,3596,0,100,240,1,Urban,Approved
LP001041,Male,Yes,0,Graduate,No,2600,3500,115,342,1,Urban,Approved
LP001046,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Approved
LP001066,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Approved
LP001068,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Approved
LP001073,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Approved
LP001087,Female,No,2,Graduate,No,3750,2083,120,360,1,Semiurban,Approved
LP001098,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Approved
LP001106,Male,Yes,0,Graduate,No,2275,2067,146,360,1,Urban,Approved
LP001112,Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,Approved
LP001114,Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,Approved
LP001116,Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,Approved
LP001120,Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Approved
LP001123,Male,Yes,0,Graduate,No,2400,0,75,360,1,Urban,Approved
LP001131,Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Approved
LP001136,Male,Yes,0,Not Graduate,Yes,4695,0,96,342,1,Urban,Approved
LP001137,Female,No,0,Graduate,No,3410,0,88,342,1,Urban,Approved
LP001138,Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,Approved
LP001144,Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Approved
LP001151,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Approved
LP001155,Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,Semiurban,Approved
LP001157,Female,No,0,Graduate,No,3086,0,120,360,1,Semiurban,Approved
LP001194,Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,Approved
LP001195,Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,Approved
LP001198,Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,Approved
LP001199,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Approved
LP001205,Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,Approved
LP001206,Male,Yes,3+,Graduate,No,3029,0,99,360,1,Urban,Approved
LP001233,Male,Yes,1,Graduate,No,10750,0,312,360,1,Urban,Approved
LP001238,Male,Yes,3+,Not Graduate,Yes,7100,0,125,60,1,Urban,Approved
LP001243,Male,Yes,0,Graduate,No,3208,3066,172,360,1,Urban,Approved
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Approved
LP001248,Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,Approved
LP001253,Male,Yes,3+,Graduate,Yes,5266,1774,187,360,1,Semiurban,Approved
LP001264,Male,Yes,3+,Not Graduate,Yes,3333,2166,130,360,0,Semiurban,Approved
LP001265,Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,Approved
LP001266,Male,Yes,1,Graduate,Yes,2395,0,146,360,1,Semiurban,Approved
LP001275,Male,Yes,1,Graduate,No,3988,0,50,240,1,Urban,Approved
LP001279,Male,No,0,Graduate,No,2366,2531,136,360,1,Semiurban,Approved
LP001280,Male,Yes,2,Not Graduate,No,3333,2000,99,360,1,Semiurban,Approved
LP001282,Male,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban,Approved
LP001289,Male,No,0,Graduate,No,8566,0,210,360,1,Urban,Approved
LP001310,Male,Yes,0,Graduate,No,5695,4167,175,360,1,Semiurban,Approved
LP001316,Male,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban,Approved
LP001318,Male,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,Approved
LP001319,Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban,Approved
LP001322,Male,No,0,Graduate,No,4133,0,122,360,1,Semiurban,Approved
LP001325,Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,Approved
LP001327,Female,Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban,Approved
LP001333,Male,Yes,0,Graduate,No,1977,997,50,360,1,Semiurban,Approved
LP001334,Male,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban,Approved
LP001343,Male,Yes,0,Graduate,No,1759,3541,131,360,1,Semiurban,Approved
LP001345,Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban,Approved
LP001349,Male,No,0,Graduate,No,4843,3806,151,360,1,Semiurban,Approved
LP001350,Male,Yes,0,Graduate,No,13650,0,146,360,1,Urban,Approved
LP001356,Male,Yes,0,Graduate,No,4652,3583,146,360,1,Semiurban,Approved
LP001357,Male,Yes,0,Graduate,No,3816,754,160,360,1,Urban,Approved
LP001367,Male,Yes,1,Graduate,No,3052,1030,100,360,1,Urban,Approved
LP001369,Male,Yes,2,Graduate,No,11417,1126,225,360,1,Urban,Approved
LP001384,Male,Yes,3+,Not Graduate,No,2071,754,94,480,1,Semiurban,Approved
LP001385,Male,No,0,Graduate,No,5316,0,136,360,1,Urban,Approved
LP001387,Female,Yes,0,Graduate,No,2929,2333,139,360,1,Semiurban,Approved
LP001392,Female,No,1,Graduate,Yes,7451,0,146,360,1,Semiurban,Approved
LP001398,Male,No,0,Graduate,Yes,5050,0,118,360,1,Semiurban,Approved
LP001401,Male,Yes,1,Graduate,No,14583,0,185,180,1,Rural,Approved
LP001404,Female,Yes,0,Graduate,No,3167,2283,154,360,1,Semiurban,Approved
LP001405,Male,Yes,1,Graduate,No,2214,1398,85,360,1,Urban,Approved
LP001422,Female,No,0,Graduate,No,10408,0,259,360,1,Urban,Approved
LP001426,Male,Yes,0,Graduate,No,5667,2667,180,360,1,Rural,Approved
LP001430,Female,No,0,Graduate,No,4166,0,44,360,1,Semiurban,Approved
LP001431,Female,No,0,Graduate,No,2137,8980,137,360,0,Semiurban,Approved
LP001432,Male,Yes,2,Graduate,No,2957,0,81,360,1,Semiurban,Approved
LP001439,Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,Rural,Approved
LP001443,Female,No,0,Graduate,No,3692,0,93,360,1,Rural,Approved
LP001448,Female,Yes,3+,Graduate,No,23803,0,370,360,1,Rural,Approved
LP001449,Male,No,0,Graduate,No,3865,1640,146,360,1,Rural,Approved
LP001469,Male,No,0,Graduate,Yes,20166,0,650,480,0,Urban,Approved
LP001473,Male,No,0,Graduate,No,2014,1929,74,360,1,Urban,Approved
LP001478,Male,No,0,Graduate,No,2718,0,70,360,1,Semiurban,Approved
LP001482,Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,Approved
LP001487,Male,No,0,Graduate,No,4895,0,102,360,1,Semiurban,Approved
LP001491,Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,Approved
LP001498,Male,No,0,Graduate,No,5417,0,168,360,1,Urban,Approved
LP001504,Male,No,0,Graduate,Yes,6950,0,175,180,1,Semiurban,Approved
LP001507,Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban,Approved
LP001508,Male,Yes,2,Graduate,No,11757,0,187,180,1,Urban,Approved
LP001514,Female,Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban,Approved
LP001516,Female,Yes,2,Graduate,No,14866,0,70,360,1,Urban,Approved
LP001518,Male,Yes,1,Graduate,No,1538,1425,30,360,1,Urban,Approved
LP001520,Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,Approved
LP001529,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,Rural,Approved
LP001535,Male,No,0,Graduate,No,3254,0,50,360,1,Urban,Approved
LP001536,Male,Yes,3+,Graduate,No,39999,0,600,180,0,Semiurban,Approved
LP001541,Male,Yes,1,Graduate,No,6000,0,160,360,0,Rural,Approved
LP001543,Male,Yes,1,Graduate,No,9538,0,187,360,1,Urban,Approved
LP001546,Male,No,0,Graduate,No,2980,2083,120,360,1,Rural,Approved
LP001552,Male,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban,Approved
LP001560,Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban,Approved
LP001570,Male,Yes,2,Graduate,No,4167,1447,158,360,1,Rural,Approved
LP001572,Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban,Approved
LP001574,Male,Yes,0,Graduate,No,3707,3166,182,342,1,Rural,Approved
LP001578,Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,Approved
LP001580,Male,Yes,2,Graduate,No,8000,0,200,360,1,Semiurban,Approved
LP001581,Male,Yes,0,Not Graduate,No,1820,1769,95,360,1,Rural,Approved
LP001585,Male,Yes,3+,Graduate,No,51763,0,700,300,1,Urban,Approved
LP001594,Male,Yes,0,Graduate,No,5708,5625,187,360,1,Semiurban,Approved
LP001606,Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,Approved
LP001608,Male,Yes,2,Graduate,No,2045,1619,101,360,1,Rural,Approved
LP001616,Male,Yes,1,Graduate,No,3750,0,116,360,1,Semiurban,Approved
LP001636,Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,Approved
LP001639,Female,Yes,0,Graduate,No,3625,0,108,360,1,Semiurban,Approved
LP001640,Male,Yes,0,Graduate,Yes,39147,4750,120,360,1,Semiurban,Approved
LP001643,Male,Yes,0,Graduate,No,2383,2138,58,360,0,Rural,Approved
LP001644,Male,Yes,0,Graduate,Yes,674,5296,168,360,1,Rural,Approved
LP001647,Male,Yes,0,Graduate,No,9328,0,188,180,1,Rural,Approved
LP001653,Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural,Approved
LP001658,Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,Approved
LP001664,Male,No,0,Graduate,No,4191,0,120,360,1,Rural,Approved
